INFO 2022-10-22 21:48:29,366  * Detected change in 'C:\\Users\\Bikash\\Downloads\\pythonpro\\pythonpro\\app.py', reloading
INFO 2022-10-22 22:10:29,161 package: mysql.connector.plugins
INFO 2022-10-22 22:10:29,162 plugin_name: caching_sha2_password
INFO 2022-10-22 22:10:29,166 AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
INFO 2022-10-22 22:10:29,296 db connection successful
INFO 2022-10-22 22:10:29,309 127.0.0.1 - - [22/Oct/2022 22:10:29] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 22:10:36,777  product details successfully fetched for 0th product
INFO 2022-10-22 22:10:37,017  product details successfully fetched for 1th product
INFO 2022-10-22 22:10:37,307  product details successfully fetched for 2th product
INFO 2022-10-22 22:10:37,606  product details successfully fetched for 3th product
INFO 2022-10-22 22:10:37,838  product details successfully fetched for 4th product
INFO 2022-10-22 22:10:38,032  product details successfully fetched for 5th product
INFO 2022-10-22 22:10:38,244  product details successfully fetched for 6th product
INFO 2022-10-22 22:10:38,460  product details successfully fetched for 7th product
INFO 2022-10-22 22:10:38,678  product details successfully fetched for 8th product
INFO 2022-10-22 22:10:38,904  product details successfully fetched for 9th product
INFO 2022-10-22 22:10:39,186  product details successfully fetched for 10th product
INFO 2022-10-22 22:10:39,471  product details successfully fetched for 11th product
INFO 2022-10-22 22:10:39,746  product details successfully fetched for 12th product
INFO 2022-10-22 22:10:40,118  product details successfully fetched for 13th product
INFO 2022-10-22 22:10:40,379  product details successfully fetched for 14th product
INFO 2022-10-22 22:10:40,762  product details successfully fetched for 15th product
INFO 2022-10-22 22:10:41,034  product details successfully fetched for 16th product
INFO 2022-10-22 22:10:41,269  product details successfully fetched for 17th product
INFO 2022-10-22 22:10:41,585  product details successfully fetched for 18th product
INFO 2022-10-22 22:10:41,977  product details successfully fetched for 19th product
INFO 2022-10-22 22:10:42,396  product details successfully fetched for 20th product
INFO 2022-10-22 22:10:42,664  product details successfully fetched for 21th product
INFO 2022-10-22 22:10:42,920  product details successfully fetched for 22th product
INFO 2022-10-22 22:10:43,179  product details successfully fetched for 23th product
ERROR 2022-10-22 22:10:45,925 Failed processing format-parameters; Python 'dict' cannot be converted to a MySQL type
INFO 2022-10-22 22:10:45,940 127.0.0.1 - - [22/Oct/2022 22:10:45] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 22:10:45,979 127.0.0.1 - - [22/Oct/2022 22:10:45] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 22:44:29,735 review details successfully fetched from 0th customer 
INFO 2022-10-22 22:44:29,864 review details successfully fetched from 1th customer 
INFO 2022-10-22 22:44:29,946 review details successfully fetched from 2th customer 
INFO 2022-10-22 22:44:30,039 review details successfully fetched from 3th customer 
INFO 2022-10-22 22:44:30,122 review details successfully fetched from 4th customer 
INFO 2022-10-22 22:44:30,208 review details successfully fetched from 5th customer 
INFO 2022-10-22 22:44:30,288 review details successfully fetched from 6th customer 
INFO 2022-10-22 22:44:30,370 review details successfully fetched from 7th customer 
INFO 2022-10-22 22:44:30,465 review details successfully fetched from 8th customer 
INFO 2022-10-22 22:44:30,566 review details successfully fetched from 9th customer 
INFO 2022-10-22 22:44:30,571 127.0.0.1 - - [22/Oct/2022 22:44:30] "[37mPOST /comment HTTP/1.1[0m" 200 -
INFO 2022-10-22 22:44:30,746 127.0.0.1 - - [22/Oct/2022 22:44:30] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 22:45:59,065 package: mysql.connector.plugins
INFO 2022-10-22 22:45:59,066 plugin_name: caching_sha2_password
INFO 2022-10-22 22:45:59,069 AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
INFO 2022-10-22 22:45:59,098 db connection successful
INFO 2022-10-22 22:45:59,111 127.0.0.1 - - [22/Oct/2022 22:45:59] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 22:46:05,489  product details successfully fetched for 0th product
INFO 2022-10-22 22:46:05,607  product details successfully fetched for 1th product
INFO 2022-10-22 22:46:05,732  product details successfully fetched for 2th product
INFO 2022-10-22 22:46:05,856  product details successfully fetched for 3th product
INFO 2022-10-22 22:46:05,977  product details successfully fetched for 4th product
INFO 2022-10-22 22:46:06,091  product details successfully fetched for 5th product
INFO 2022-10-22 22:46:06,218  product details successfully fetched for 6th product
INFO 2022-10-22 22:46:06,396  product details successfully fetched for 7th product
INFO 2022-10-22 22:46:06,508  product details successfully fetched for 8th product
INFO 2022-10-22 22:46:06,626  product details successfully fetched for 9th product
INFO 2022-10-22 22:46:06,741  product details successfully fetched for 10th product
INFO 2022-10-22 22:46:06,849  product details successfully fetched for 11th product
INFO 2022-10-22 22:46:06,964  product details successfully fetched for 12th product
INFO 2022-10-22 22:46:07,078  product details successfully fetched for 13th product
INFO 2022-10-22 22:46:07,188  product details successfully fetched for 14th product
INFO 2022-10-22 22:46:07,298  product details successfully fetched for 15th product
INFO 2022-10-22 22:46:07,409  product details successfully fetched for 16th product
INFO 2022-10-22 22:46:07,524  product details successfully fetched for 17th product
INFO 2022-10-22 22:46:07,640  product details successfully fetched for 18th product
INFO 2022-10-22 22:46:07,755  product details successfully fetched for 19th product
INFO 2022-10-22 22:46:07,869  product details successfully fetched for 20th product
INFO 2022-10-22 22:46:07,985  product details successfully fetched for 21th product
INFO 2022-10-22 22:46:08,146  product details successfully fetched for 22th product
INFO 2022-10-22 22:46:08,277  product details successfully fetched for 23th product
ERROR 2022-10-22 22:46:08,518 1406 (22001): Data too long for column 'comment_urls' at row 1
INFO 2022-10-22 22:46:08,528 127.0.0.1 - - [22/Oct/2022 22:46:08] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 22:46:08,553 127.0.0.1 - - [22/Oct/2022 22:46:08] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 23:46:47,907  * Detected change in 'C:\\Users\\Bikash\\Downloads\\pythonpro\\pythonpro\\mysql_conn.py', reloading
INFO 2022-10-22 23:47:09,397 package: mysql.connector.plugins
INFO 2022-10-22 23:47:09,397 plugin_name: caching_sha2_password
INFO 2022-10-22 23:47:09,400 AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
INFO 2022-10-22 23:47:09,450 db connection successful
